Artist,source_file_path,num_songs,Artist ID,Website,Hometown,State,Year
2 Live Crew,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_2LiveCrew.json,123,809,https://genius.com/artists/2-live-crew,"Miami, FL",FL,1989
21 Savage,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_21Savage.json,162,430404,https://genius.com/artists/21-savage,"Atlanta, GA",GA,2016
2Pac,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_2Pac.json,200,59,https://genius.com/artists/2pac,"Los Angeles, CA",CA,1996
42 Dugg,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_42Dugg.json,75,1426415,https://genius.com/artists/42-dugg,"Detroit, MI",MI,2020
50 Cent,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_50Cent.json,412,108,https://genius.com/artists/50-cent,"Queens, NY",NY,2007
A Tribe Called Quest,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_ATribeCalledQuest.json,135,519,https://genius.com/artists/A-tribe-called-quest,"Queens, NY",NY,1996
A$AP Rocky,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_AAPRocky.json,222,12417,https://genius.com/artists/A-ap-rocky,"Harlem, NY",NY,2013
Beastie Boys,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_BeastieBoys.json,263,329,https://genius.com/artists/Beastie-boys,"Brooklyn, NY",NY,1995
Big Daddy Kane,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_BigDaddyKane.json,110,202,https://genius.com/artists/Big-daddy-kane,"Brooklyn, NY",NY,1991
Big Sean,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_BigSean.json,263,492,https://genius.com/artists/Big-sean,"Detroit, MI",MI,2012
