term_str,n,tfidf,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
abandon,2.0,0.0001822178535058151,0.0,0.0,0.0,0.0001822178535058151,0.0,0.0001822178535058151,0.0,0.0,-0.0001822178535058151
abandoned,2.4166666666666665,0.00019525483631443617,0.00019525483631443617,0.0,0.0,0.00019525483631443617,0.0,0.00019525483631443617,0.0,0.0,-0.00019525483631443617
abandonment,1.0,0.0002037261994353352,0.0002037261994353352,0.0,0.0,0.0002037261994353352,0.0,0.0002037261994353352,0.0002037261994353352,0.0,-0.0002037261994353352
abduction,1.0,9.834994805179885e-05,0.0,0.0,0.0,9.834994805179885e-05,0.0,9.834994805179885e-05,9.834994805179885e-05,0.0,-9.834994805179885e-05
abhorrent,1.0,0.0005426965077795096,0.0005426965077795096,0.0,0.0005426965077795096,0.0005426965077795096,0.0,0.0,0.0,0.0,-0.0005426965077795096
abnormal,1.0,9.423859424130138e-05,0.0,0.0,9.423859424130138e-05,0.0,0.0,0.0,0.0,0.0,-9.423859424130138e-05
abolish,2.0,0.0001494457469887193,0.0001494457469887193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001494457469887193
abominable,1.0,8.66670315307764e-05,0.0,0.0,8.66670315307764e-05,8.66670315307764e-05,0.0,0.0,0.0,0.0,-8.66670315307764e-05
abomination,1.8,0.0002043207178470729,0.0002043207178470729,0.0,0.0002043207178470729,0.0002043207178470729,0.0,0.0,0.0,0.0,-0.0002043207178470729
abortion,1.85,0.00015900034158208886,0.0,0.0,0.00015900034158208886,0.00015900034158208886,0.0,0.00015900034158208886,0.0,0.0,-0.00015900034158208886
abscess,4.0,0.000314266045012738,0.0,0.0,0.0,0.0,0.0,0.000314266045012738,0.0,0.0,-0.000314266045012738
absence,1.588235294117647,0.00016105298308946635,0.0,0.0,0.0,0.00016105298308946635,0.0,0.00016105298308946635,0.0,0.0,-0.00016105298308946635
absent,1.5555555555555556,0.00019545353545891668,0.0,0.0,0.0,0.0,0.0,0.00019545353545891668,0.0,0.0,-0.00019545353545891668
absentee,1.0,8.247317296755463e-05,0.0,0.0,0.0,0.0,0.0,8.247317296755463e-05,0.0,0.0,-8.247317296755463e-05
abundance,1.5,0.00010401182681437771,0.0,0.00010401182681437771,0.00010401182681437771,0.0,0.00010401182681437771,0.0,0.0,0.00010401182681437771,0.0
abundant,1.1428571428571428,0.00016024955238114468,0.0,0.0,0.0,0.0,0.00016024955238114468,0.0,0.0,0.0,0.00016024955238114468
abuse,2.6065573770491803,0.00022666731142648348,0.00022666731142648348,0.0,0.00022666731142648348,0.00022666731142648348,0.0,0.00022666731142648348,0.0,0.0,-0.00022666731142648348
abysmal,1.0,0.00016926252672811479,0.0,0.0,0.0,0.0,0.0,0.00016926252672811479,0.0,0.0,-0.00016926252672811479
abyss,2.3870967741935485,0.0002159875535261857,0.0,0.0,0.0,0.0002159875535261857,0.0,0.0002159875535261857,0.0,0.0,-0.0002159875535261857
academic,1.0,0.00013229819344815348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013229819344815348,0.00013229819344815348
accident,2.4444444444444446,0.00016961071657545633,0.0,0.0,0.0,0.00016961071657545633,0.0,0.00016961071657545633,0.00016961071657545633,0.0,-0.00016961071657545633
accidental,1.0,0.0001998431458130072,0.0,0.0,0.0,0.0001998431458130072,0.0,0.0,0.0001998431458130072,0.0,-0.0001998431458130072
accolade,1.0,0.0002469360568195591,0.0,0.0002469360568195591,0.0,0.0,0.0002469360568195591,0.0,0.0002469360568195591,0.0002469360568195591,0.0002469360568195591
